,Input [MCM],Demand [MCM],Evaporation [mm]
2006-12-31,0.9123839999999999,1.8999999999999997,0.0
2007-01-31,3.601152000000001,6.014000000000002,0.0
2007-02-28,4.92912,6.1880000000000015,0.0
2007-03-31,9.491904000000002,13.105000000000002,0.0
2007-04-30,48.912768,30.845000000000002,0.0
2007-05-31,49.402656,36.145999999999994,0.0
2007-06-30,8.015327999999998,21.054000000000006,0.0
2007-07-31,2.8425599999999984,3.9680000000000026,0.0
2007-08-31,4.001184,4.175,0.0
2007-09-30,0.658368,1.2570000000000003,0.0
2007-10-31,0.7343999999999999,1.2750000000000001,0.0
2007-11-30,3.889728,12.377999999999998,0.0
2007-12-31,4.782239999999999,6.3580000000000005,0.0
2008-01-31,1.9906560000000013,0.0,0.0
2008-02-29,4.865183999999998,0.0,0.0
2008-03-31,17.8848,2.401,0.0
2008-04-30,19.970495999999997,2.5489999999999995,0.0
2008-05-31,4.350239999999998,2.6659999999999995,0.0
2008-06-30,0.813888,2.5799999999999996,0.0
2008-07-31,1.3245119999999995,2.971,0.0
2008-08-31,0.13651199999999997,2.448000000000001,0.0
2008-09-30,0.945216,1.0610000000000004,0.0
2008-10-31,2.801088000000001,1.1819999999999997,0.0
2008-11-30,3.4896959999999995,0.426,0.0
2008-12-31,1.4817600000000002,0.6650000000000003,0.0
2009-01-31,2.1755519999999997,0.2260000000000001,0.073099415
2009-02-28,2.852928000000001,0.11200000000000007,0.0
2009-03-31,6.754751999999999,0.538,0.0
2009-04-30,13.214016,6.590000000000001,0.028174978
2009-05-31,6.472223999999998,11.579000000000006,0.286526136
2009-06-30,5.3369279999999995,2.7419999999999995,0.011347131
2009-07-31,0.576288,2.528000000000001,0.0
2009-08-31,0.152928,2.2700000000000014,1.427469136
2009-09-30,0.35251200000000005,2.1449999999999987,5.361665545000002
2009-10-31,1.0972800000000003,1.2730000000000006,0.0
2009-11-30,8.155296,8.061000000000002,0.0
2009-12-31,1.9932480000000001,14.981999999999998,0.0
2010-01-31,4.288896000000001,0.1840000000000001,0.0
2010-02-28,5.807807999999999,0.11600000000000008,0.0
2010-03-31,17.788032,0.1310000000000001,0.0
2010-04-30,25.265088,0.9699999999999998,0.017794638999999998
2010-05-31,23.25542399999998,2.773000000000001,0.09177240699999997
2010-06-30,2.5099199999999997,3.312,1.077675339
2010-07-31,0.09331200000000002,4.312,12.731481484000003
2010-08-31,0.145152,4.108999999999999,18.295739340000008
2010-09-30,0.14688,3.1069999999999993,27.97600041500001
2010-10-31,0.15379200000000012,1.3489999999999998,12.461419748999996
2010-11-30,0.06825599999999997,1.1600000000000001,14.467592591000002
2010-12-31,0.6445440000000001,0.5700000000000002,11.378602458999994
2011-01-31,2.7535679999999987,0.1770000000000001,0.7226377729999999
2011-02-28,3.356639999999999,0.10900000000000007,0.720637908
2011-03-31,9.956736000000001,0.22800000000000006,0.12105787900000002
2011-04-30,33.1344,1.1509999999999998,0.03507349700000001
